sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
csi888,17,14,0.8,0.000654634711094,0.0007428299811849,98.26875776458022,57.06065006323089,0.2941176470588235,-0.0943336598090304,17
cumrocket,17,14,0.8,0.001104694278636,0.0012955994166703,28.702292934873675,23.87291354996354,0.1764705882352941,-0.0384889374937716,17
dancingtriangle2,17,14,0.8,0.0001813043660247,0.0002072447146797,39.12094172773046,30.76661259898171,0.5294117647058824,6.715469973124745e-05,17
darkmaga,17,14,0.8,0.0009995756833268,0.0012195142494717,28.859778279146383,24.662652927191044,0.5294117647058824,0.0134283610952669,17
deepworm,17,14,0.8,0.0191860906096257,0.0196236656696232,503.1388741205565,129.51860984090865,0.1764705882352941,-0.2389638138267274,17
degenspartanai,17,14,0.8,0.0296130305895927,0.0307120487973699,188.97490191476456,91.39126348519494,0.1176470588235294,-0.2151671853559883,17
dejitarutsuka,17,14,0.8,0.0009402414516183,0.001095880575948,19.90005720577131,18.0414176757763,0.4705882352941176,0.000144125914648,17
dogemascotshibu,17,14,0.8,0.0001978142433958,0.0002793728302613,14.03246309708146,14.633804777644604,0.7058823529411765,0.0885064858189162,17
dogeonsolana,17,14,0.8,0.0004361565778486,0.0004453059855754,113.4121012858416,70.24158414819257,0.2352941176470588,-0.1299828430814863,17
doggo3,17,14,0.8,1.7619731008935084e-07,2.054698757835337e-07,13.6236925428773,13.315397193777724,0.5294117647058824,0.0244921910155333,17
donaldtremp,17,14,0.8,0.0186632904270235,0.0249092221788267,22.53226994533788,22.860423757441293,0.7058823529411765,0.0841608676991226,17
dorklord2,17,14,0.8,0.005504768106887,0.0060131412531331,21.050321569570013,21.99925591111785,0.5294117647058824,0.064805425221447,17
ducky,17,14,0.8,4.315961548029696e-07,4.422795242988692e-07,61.24081163077525,45.47113892734455,0.1176470588235294,-0.1029854854810863,17
duko,17,14,0.8,8.582834872629218e-05,0.0001001868448612,22.438329519580563,24.492060392321463,0.7647058823529411,0.0758085433375871,17
elgato,17,14,0.8,2.1933896435009663e-05,2.6840446958080045e-05,19.355321156407,16.847146075831287,0.5294117647058824,0.0289145265561083,17
elon,17,14,0.8,6.229582890655718e-07,8.265898526673893e-07,17.723577116552903,17.716388334545517,0.5882352941176471,0.0382865493363914,17
eyeearn,17,14,0.8,5.089734263405091e-08,5.7780044225445766e-08,27.281429912645173,32.48142273439759,0.7647058823529411,0.0549289700012622,17
feces,17,14,0.8,0.0002991164166997,0.0003695307222504,34.606955871261256,26.087489653970568,0.5294117647058824,-0.0510803303228802,17
fefeoneth,17,14,0.8,0.0004240461481725,0.0005092353106645,12.547117065073031,11.912213774510038,0.7058823529411765,0.0636013287752079,17
feistydogenft,17,14,0.8,9.011901753308411e-06,1.1075244668415416e-05,10.962954307870843,10.154223707536952,0.5882352941176471,0.0112275283455866,17
fighttomaga,17,14,0.8,0.0008392700852887,0.0009790049616843,47.74843905750106,35.48260401592014,0.5294117647058824,0.0003546638625182,17
firstreply,17,14,0.8,0.0005357952062395,0.0006465484508823,35.37363836199997,27.265027056862905,0.5882352941176471,-0.0136301239633704,17
fisttrumppump,17,14,0.8,0.3950658356693982,0.4174242432834113,153.03325133509992,83.13289402352297,0.3529411764705882,-0.0692392508457057,17
floos,17,14,0.8,0.0002467680391945,0.0002706053474873,37.41407386422458,47.95861049528181,0.5882352941176471,-0.0116120546031778,17
fofar,17,14,0.8,1.9023652625525848e-06,2.0156201754942406e-06,40.35740567462744,32.78472915646355,0.3529411764705882,-0.0523715913552414,17
forest,17,14,0.8,0.0021558007446194,0.0027762612901932,60.08258226446006,42.483659629837824,0.5294117647058824,-0.0004595252003471,17
gamestop,17,14,0.8,4.329116893582225e-05,5.194356272090053e-05,18.858463098207093,17.491677465536558,0.5882352941176471,0.012057800293366,17
gameswift,17,14,0.8,0.0234334498452908,0.0248172934798029,45.37827342535244,35.78927007624952,0.2352941176470588,-0.0699306757790085,17
gdog,17,14,0.8,2.557559299339877e-07,3.062836088171864e-07,9.0171976070164,9.541495942859214,0.5882352941176471,0.0040027703708072,17
gikocat,17,14,0.8,1.4838144702996756,1.6919948338238269,97.67548115625914,57.7096947996842,0.2941176470588235,-0.076529025112741,17
ginnanthecat,17,14,0.8,7.629355304404718e-08,9.658058942296394e-08,28.528391346727705,24.01675485347627,0.5294117647058824,0.0290410872585191,17
gme,17,14,0.8,0.0003645235510423,0.0004292483109759,14.326614788214348,13.801795926812591,0.5882352941176471,0.0477676551104135,17
groyper,17,14,0.8,0.003743316218479,0.0040181415783944,44.9984900220667,35.61948177207351,0.2352941176470588,-0.0862465901287686,17
guacamole,17,14,0.8,5.254769655710203e-09,5.940514589142133e-09,22.23496544839278,21.488201908228643,0.4705882352941176,0.1960784313725489,17
gummy,17,14,0.8,0.0003685595041466,0.000440691520592,12.312710016962232,11.320984913922995,0.5294117647058824,0.003674695093709,17
habibisol,17,14,0.8,0.000593393693602,0.0007378571980977,46.19639300528838,63.05996379264273,0.4705882352941176,-0.0927658094491135,17
hami,17,14,0.8,0.0001624580003465,0.0002025194174781,10.407920856483818,10.139901202365536,0.8823529411764706,0.1353255126109514,17
hana,17,14,0.8,1.1913142464134937e-05,1.4094044745748374e-05,18.19627630332656,16.084443680691262,0.4705882352941176,0.0311200092360696,17
harrypottertrumphomersimpson777inu,17,14,0.8,0.0001120104909828,0.0001417378395127,25.09551246692213,21.094164517648498,0.6470588235294118,0.0785285733150473,17
hawk2,17,14,0.8,0.0016385942328588,0.0022446007993297,613.7901776963541,136.91523369126452,0.4117647058823529,-0.0279407365548697,17
hege,17,14,0.8,0.0089264845165643,0.0095220110371466,56.23209948855512,41.956894173425226,0.2352941176470588,-0.0605795725650232,17
hehecat,17,14,0.8,0.0027916629000968,0.0029831243766473,50.47121936173254,38.42335045066736,0.2941176470588235,-0.0293940587397741,17
hemule,17,14,0.8,0.0003055257337481,0.0003499721601587,11.589726853407036,11.40699492466837,0.5882352941176471,0.0212844360805515,17
historyofpepe,17,14,0.8,0.0003056260070619,0.0003167324543714,40.7267297257168,33.29386245083917,0.3529411764705882,-0.0294441441892136,17
honk,17,14,0.8,0.0001307736524072,0.000157816561563,8.730443174380849,9.093141655285937,0.7647058823529411,0.0822812496478853,17
hund,17,14,0.8,0.0029224326312314,0.003093355265159,40.80394196816652,33.093403740628105,0.4117647058823529,0.0254165337128121,17
iiiilovvvyouuuu,17,14,0.8,0.0004083685381592,0.000507064008005,24.60426024657699,22.585868130761067,0.5882352941176471,0.0843336300464718,17
illuminaticoin,17,14,0.8,9.256235120210666e-08,1.0534064802211241e-07,10.437455668196536,9.77150000173802,0.4117647058823529,-0.007139717578067,17
inferno2,17,14,0.8,1.5415993928491676e-06,2.022888775734091e-06,268.27474393844085,102.22031516411454,0.5882352941176471,0.726235805167092,17
iq50,17,14,0.8,2.551498478778162e-07,3.9718778333330374e-07,7.440496238662033,8.025334085464756,0.6470588235294118,0.0241597339879139,17
jeoboden,17,14,0.8,0.001173039030477,0.001755509944541,33.170882625161994,32.59579204922869,0.4705882352941176,0.1099883837130789,17
