seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
11,auraonsol,V0,0.005570910226814927,0.005739331999881302,124.81913690351783,71.81008555024417,0.11764705882352941,-0.12929878668253836,17
11,auraonsol,V1,0.011568089379321207,0.013769779433685118,230.48212925360016,128.18379112537394,0.4117647058823529,-0.05036211174345781,17
11,auraonsol,V2,0.007703316658903805,0.007862270333648716,167.82260066642962,86.55943389045473,0.11764705882352941,-0.12929878668253836,17
11,auraonsol,V3,0.0016831718240200415,0.0019817230940304153,33.41337683886433,28.280966218196596,0.35294117647058826,-0.07013635581255792,17
11,autism2,V0,0.0024599974351584668,0.00248099603136221,167.86265690076064,88.74155916175229,0.23529411764705882,-0.040666347753870215,17
11,autism2,V1,0.004619788823529413,0.0131256612156894,258.19323697158023,199.21287493362988,0.7058823529411765,0.03972035045196112,17
11,autism2,V2,0.0007028879371536714,0.0007700770288114015,51.00938782072535,38.19465795645134,0.23529411764705882,-0.040666347753870215,17
11,autism2,V3,0.002775871414046867,0.0028427915562417184,188.18213008647103,93.8862096042517,0.23529411764705882,-0.040666347753870215,17
11,autonomousvirtualbeings,V0,0.007992308799497536,0.009357281799829729,67.41898181605336,44.12287887199504,0.4117647058823529,0.022847054161776032,17
11,autonomousvirtualbeings,V1,0.016164337588035094,0.017216976769121147,99.87138804716845,159.73200320713005,0.6470588235294118,0.0342958251907593,17
11,autonomousvirtualbeings,V2,0.01091425795528759,0.011596715492872244,83.01486080209555,54.25868109492714,0.23529411764705882,-0.02196081246683893,17
11,autonomousvirtualbeings,V3,0.005439825079003754,0.00719145638657175,37.83486508020587,31.952609390920163,0.5294117647058824,-0.05070728080983017,17
11,avaxhasnochill,V0,0.0023754142673829714,0.0023989652325808455,139.59609286443145,80.27135767232087,0.4117647058823529,0.034992225939941016,17
11,avaxhasnochill,V1,0.007793018944708391,0.01131958553340757,460.4400606013875,161.1120643908949,0.4117647058823529,-0.07403956175156316,17
11,avaxhasnochill,V2,0.0011965295748114855,0.001241516048342008,71.69056146949117,50.98578723192384,0.4117647058823529,0.034992225939941016,17
11,avaxhasnochill,V3,0.0007179238893401551,0.0010143465170795167,37.2842360328856,39.65381399299348,0.5294117647058824,-0.05234540251611894,17
11,babybnb,V0,0.0007310731184943303,0.0007912178660415317,52.77429692735538,39.99625994717817,0.47058823529411764,0.201004145438764,17
11,babybnb,V1,0.0016626952941176472,0.0017588878636630523,100.0,200.0,0.7647058823529411,0.005005432010489997,17
11,babybnb,V2,0.00668259711981203,0.006831925863360158,447.5983717128793,133.8824995878803,0.23529411764705882,-0.005005432010489997,17
11,babybnb,V3,0.0019346478646061187,0.0025260476079871324,147.2008830149715,68.59368160039439,0.4117647058823529,0.11402338631432765,17
11,babyneirotoken,V0,1.7607058823529407e-05,1.760730363163169e-05,3045.4911822288523,187.38893537453595,0.23529411764705882,-0.10561852524745802,17
11,babyneirotoken,V1,5.929411764705883e-07,6.001666435249463e-07,100.0,200.0,0.7647058823529411,0.10561852524745802,17
11,babyneirotoken,V2,1.1275117244243675e-06,1.1310529435477257e-06,197.18730575614626,97.96691119288032,0.23529411764705882,-0.10561852524745802,17
11,babyneirotoken,V3,1.4505882352941175e-06,1.5138614436560023e-06,243.6904575663421,108.54337668620477,0.23529411764705882,-0.10561852524745802,17
11,babywen,V0,0.08607660605471643,0.0876951253241046,167.95259500039802,86.14890162072739,0.11764705882352941,-0.11251469067393544,17
11,babywen,V1,0.05392859765039478,0.1130351268174768,87.7976130783587,45.65147407430543,0.35294117647058826,-0.04768360508334205,17
11,babywen,V2,0.05773568932971814,0.059748837039117896,114.36013417963808,67.99765257448331,0.11764705882352941,-0.11251469067393544,17
11,babywen,V3,0.012669287294903013,0.017081864190828792,21.67297104867549,19.62710190224102,0.6470588235294118,0.07389003061736801,17
11,badideaai,V0,1.8999999999999998e-07,1.8999999999999998e-07,1899.9999999999995,180.95238095238093,0.0,-0.08823529411764706,17
11,badideaai,V1,1e-08,1e-08,100.0,200.0,0.17647058823529413,0.08823529411764706,17
11,badideaai,V2,9.72504521031097e-09,9.726342852114636e-09,97.25045210310971,65.42957288536864,0.17647058823529413,0.08823529411764706,17
11,badideaai,V3,2.529411764705883e-08,2.7759471091757456e-08,252.94117647058832,107.56302521008405,0.0,-0.08823529411764706,17
11,bananatapewall,V0,0.004760372614222909,0.004760546495214727,1575.9027232521603,177.1323995840291,0.29411764705882354,-0.05302442997313797,17
11,bananatapewall,V1,0.005460825835984667,0.010236620067731085,1818.3497505395162,197.9079993601524,0.4117647058823529,-0.010483067657165198,17
11,bananatapewall,V2,0.0005419527547479117,0.0005447031849454077,181.24081107690623,93.91077755338033,0.29411764705882354,-0.05302442997313797,17
11,bananatapewall,V3,0.00020532156889911546,0.000304058214934434,68.05031665399571,45.625709664123775,0.35294117647058826,-0.01676054877929495,17
11,beercoin2,V0,0.0001791058823529412,0.00017911060657659363,2401.2443677814904,184.28790104149317,0.23529411764705882,-0.07159398777014225,17
11,beercoin2,V1,7.644117647058823e-06,7.754020209656711e-06,100.0,200.0,0.7647058823529411,0.07159398777014225,17
11,beercoin2,V2,4.45926442627675e-06,4.640676902517359e-06,62.056418184832275,46.13213840299548,0.23529411764705882,-0.07159398777014225,17
11,beercoin2,V3,3.599e-06,6.182082834811468e-06,45.967531438212774,36.0340789237592,0.6470588235294118,0.06015126861913188,17
11,benthedog,V0,0.0018649884642821593,0.0019983692518763816,37.41347300689079,33.402383376681456,0.47058823529411764,0.015266311130258796,17
11,benthedog,V1,0.007131403748448381,0.010087562773790918,120.54898524097544,196.37637069785214,0.6470588235294118,0.0928505716392639,17
11,benthedog,V2,0.005109685000679105,0.005465312812822526,115.56419291122533,66.74319072570175,0.29411764705882354,-0.11054865147571685,17
11,benthedog,V3,0.003059082259598504,0.0038999472855435757,70.62266855364673,45.35037040388316,0.4117647058823529,-0.07899590549559196,17
11,billy,V0,0.022237637364223174,0.02231900995918721,335.41841911089136,121.72575632061876,0.11764705882352941,-0.1604410052620681,17
11,billy,V1,0.007270646470588235,0.007504397433630263,100.0,200.0,0.8823529411764706,0.1604410052620681,17
11,billy,V2,0.014203187199133509,0.014384371024834454,208.5573011408332,99.87622861457356,0.11764705882352941,-0.1604410052620681,17
11,billy,V3,0.007179947336747429,0.008444791413496341,105.298938630502,61.49223629804833,0.23529411764705882,-0.1161332578413354,17
11,bingusthecat,V0,0.002764977375465117,0.0027724073590310472,212.99798128286866,101.83906158739349,0.35294117647058826,-0.029688048194933616,17
11,bingusthecat,V1,0.004246782458452662,0.00915629516188359,298.6406065123514,171.83850370280874,0.6470588235294118,0.046457585287919455,17
11,bingusthecat,V2,0.0013303717056995985,0.001348169676035139,103.66251058740339,66.85911867805558,0.35294117647058826,-0.029688048194933616,17
11,bingusthecat,V3,0.0005448082340237291,0.0006787202180400752,43.365071612588274,38.8368573960444,0.35294117647058826,-0.06171055771708838,17
11,bitcat2,V0,0.004645054755913027,0.004645094608261207,3896.740167489174,190.00848333650106,0.17647058823529413,-0.10738913610506955,17
11,bitcat2,V1,0.001723331836121808,0.006634437781251223,1323.919315002686,199.8885212201167,0.8823529411764706,0.11301471032354347,17
