sheet_name,model,note,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
ribbit2,lstm,lstm_fallback_mlp,0.023394461827470747,0.025659942188704918,449302.37511149736,199.8406457212097,0.29411764705882354,-0.09116774150033331,17
riko,persistence,ok,0.0006375288235294117,0.0008846903460234313,12.513849866036441,11.230186862851067,0.0,0.0,17
riko,arima,ok,0.00220389599799919,0.002311243873601321,46.55361069360363,36.6279716951744,0.29411764705882354,-0.03949892698430476,17
riko,prophet,ok,0.0023350735323435763,0.002510244419131953,49.88079884530605,38.24233785240902,0.35294117647058826,-0.01990508376750486,17
riko,random_forest,ok,0.0016189419147058836,0.0017439561690903269,34.594891718967666,28.502757773805946,0.35294117647058826,-0.01990508376750486,17
riko,xgboost,ok,0.0016293189876761857,0.0017847923800048,35.05497516775076,28.657311176200867,0.35294117647058826,-0.01990508376750486,17
riko,gru,gru_fallback_mlp,0.06939420484103881,0.06962117129792836,1392.1571177326746,200.0,0.8235294117647058,0.09296409740816317,17
riko,lstm,lstm_fallback_mlp,0.004805741222453592,0.005430915090989238,93.18101505381765,66.74768137468423,0.29411764705882354,-0.06868924412187188,17
rockytherock,persistence,ok,0.00029685647058823534,0.0003898081723557039,24.900224181761732,20.40396090287564,0.0,0.0,17
rockytherock,arima,ok,0.0006974109925814195,0.0007990142111961065,74.43714345741613,47.769864459264596,0.29411764705882354,-0.06664314603090579,17
rockytherock,prophet,ok,0.00025142591213635776,0.0002932948117676909,22.324341929367318,21.37591808074115,0.7058823529411765,0.14603769678420545,17
rockytherock,random_forest,ok,0.0008611470852941218,0.0009498437479295163,88.24179528250845,55.0313824981462,0.29411764705882354,-0.06664314603090579,17
rockytherock,xgboost,ok,0.0009261296002701275,0.0009984782691450117,93.18190463677179,57.84614811966339,0.29411764705882354,-0.06664314603090579,17
rockytherock,gru,gru_fallback_mlp,0.079937859402594,0.08054302736844801,7176.426210482055,200.0,0.8823529411764706,0.16661929776031553,17
rockytherock,lstm,lstm_fallback_mlp,0.010260846758534553,0.011138158277306907,900.9977553495971,157.59722412399924,0.11764705882352941,-0.16661929776031553,17
ronnie,persistence,ok,0.0006618811764705882,0.0010923483908426243,42.41844330023519,29.049030228246824,0.0,0.0,17
ronnie,arima,ok,0.003328629102694662,0.003338624516149077,208.11670004209515,100.72709552475239,0.4117647058823529,-0.08258615473152696,17
ronnie,prophet,ok,0.0032883744374091538,0.0032971003078359736,204.91616264103638,100.14542289030166,0.4117647058823529,-0.08258615473152696,17
ronnie,random_forest,ok,0.0032062068911764725,0.0035906060542936396,197.86461212601637,93.36758354200335,0.5882352941176471,0.12759476132960085,17
ronnie,xgboost,ok,0.003160721237125642,0.0035409554727215374,196.1333303574153,92.49176777259123,0.5882352941176471,0.12759476132960085,17
ronnie,gru,gru_fallback_mlp,0.027576533236295345,0.04189568709466599,1723.0914365390379,179.77260676449015,0.5882352941176471,-0.03113923229342462,17
ronnie,lstm,lstm_fallback_mlp,0.02150341694692242,0.024468586336422703,1330.8530830837708,163.6114561372787,0.5294117647058824,-0.004238412105994725,17
rsnoofi,persistence,ok,0.00015802176470588238,0.00018647429296097124,14.956878115633105,13.655175973355401,0.0,0.0,17
rsnoofi,arima,ok,0.00039821644551532055,0.0004487859182690596,41.66698171847754,32.33462924191846,0.35294117647058826,-0.04832604741083326,17
rsnoofi,prophet,ok,0.002774327848430975,0.002840206795018951,272.68321252270096,200.0,0.7647058823529411,0.09771306455398969,17
rsnoofi,random_forest,ok,0.00032978660588235356,0.0003818324066356125,34.808179346161495,27.773361566329875,0.47058823529411764,-0.022395798596329206,17
rsnoofi,xgboost,ok,0.00044960459965174686,0.0004972294516127583,46.59183909852204,35.56193953395851,0.29411764705882354,-0.07895483726131747,17
rsnoofi,gru,gru_fallback_mlp,0.00763678815316791,0.009765794097669143,695.9384166908189,149.9624391989478,0.23529411764705882,-0.08275305914143646,17
rsnoofi,lstm,lstm_fallback_mlp,0.019795372059550696,0.02248599900150214,1793.6447659541568,200.0,0.7647058823529411,0.09771306455398969,17
