sheet_name,seed,lookback,train_ratio,n_features,fingerprint
groyper,11,7,0.7,7,670d7edcc634cab8ec42aa1dca75755bc84ce2e317a47986a9daafd4cbecb133
guacamole,11,7,0.7,7,9086aca28d4e1a991871bca0de79a71671429977769f0ef851062e0aa529159f
gummy,11,7,0.7,7,0ccfc0519e26a9ed93c98352d45984af72a0819af55fd2dcdbe513a3538802d4
habibisol,11,7,0.7,7,3fe8e261ee3ee12f677653dda6ef365f99d5f0227343bb71cb646ebc53c28df7
hami,11,7,0.7,7,9e5117498b487fd8989c31cab389522404557e45cdc61a80c7ed6ba9f51c12e5
hana,11,7,0.7,7,157f72a45eeaf3102bf2f772022619e5becfe5da016367d105bf776070cf576e
harrypottertrumphomersimpson777inu,11,7,0.7,7,639c9272fb1539cd5b1232c232d39e7a29199640225ce8cce9545dcab872ccfe
hawk2,11,7,0.7,7,5f8b51976ac037f289fb216126495a8d957c04984c5d6e140ea49b57986b4266
hege,11,7,0.7,7,cade3f77b67213293439cd755f1d7213503fc70e6b23c5baee4594110c525609
hehecat,11,7,0.7,7,bc2e6c2773755079822ac5c9c102f92fc9ee361f72c31ddbe048c2a1de4d72c1
hemule,11,7,0.7,7,868d2e75405d1822a9c715eed03a481542090862bbd54d3abd0d1b74b15b37de
historyofpepe,11,7,0.7,7,4a0bebdd44ed4f2cebab5b09a7252a5db5edab799354c804b705404c6e1d2155
honk,11,7,0.7,7,c60148c93b82865aaa5bcb831418ccdaeede6c9a1cc952f319e7d4d55a364e55
hund,11,7,0.7,7,534e2105f05d11339a97a8fb8bb7c54b7f9dd864f90797308930f8b7e4086fa5
iiiilovvvyouuuu,11,7,0.7,7,2da5f1afdf0fc946c924070b8c1136568e4a3d9b8c1afa3b7d4b5054239d894f
illuminaticoin,11,7,0.7,7,c4f0fe5a8c6074adbb16cab63e3899e29ee27caac142096be8316aeeab479dc6
inferno2,11,7,0.7,7,0d5e9a2e7c16eb4b8c5a5597d2015f84087c78aff941c6f9a6e831da5f019fbb
