sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
nomnom,11,7,0.9,0.0023373191576136956,0.002362872878353164,93.59532326144048,62.55035267798468,0.0,-0.18199101717040217,9
npconsolana,11,7,0.9,0.0013760831675524161,0.0015356426991108396,11.619942193035719,12.03250033311742,0.7777777777777778,0.07574306774761749,9
numogram,11,7,0.9,0.00663812424792385,0.0068885628719205245,78.10836671007748,54.07710396053281,0.2222222222222222,-0.2228490486912632,9
nya,11,7,0.9,1.1278889697887764e-08,1.2168963885951247e-08,7.084467035781924,6.856342188309219,0.4444444444444444,0.03926107480029046,9
ogroaringkitty,11,7,0.9,0.001199838796856445,0.001303241354825821,39.69487051898369,32.06944183083558,0.3333333333333333,-0.11150044254969275,9
omega2,11,7,0.9,0.000658526741391911,0.0006614158614408422,170.44673959799016,200.0,0.7777777777777778,0.15928052773234846,9
optimusai,11,7,0.9,0.006357722093874295,0.006742024574399868,16.97331522084069,15.452558492358392,0.2222222222222222,-0.04692472695745272,9
oscar,11,7,0.9,0.0016796835822304882,0.0019695316866891696,59.462675487288955,44.815316403456556,0.2222222222222222,-0.1457254673677305,9
pajamascat,11,7,0.9,0.0007813800589724553,0.000786382875108209,55.20958889580633,42.99592624733173,0.0,-0.15149141903795482,9
patriot,11,7,0.9,0.0006292129891067021,0.0006513358153181166,70.57407781253278,52.22500307484065,0.4444444444444444,-0.05772628695157541,9
peng,11,7,0.9,0.01704302488034994,0.01844776885208125,49.38323594935147,54.71311635144972,0.4444444444444444,-0.1531403964994571,9
pestothebabykingpenguin,11,7,0.9,0.0007760267839367267,0.0007830795483246197,64.05760305878013,47.996985500968364,0.0,-0.11305532199516476,9
phil,11,7,0.9,0.0006555934022116233,0.0007590454930272102,8.30620681754983,8.354837684436175,0.7777777777777778,0.09899173038634451,9
pikaboss,11,7,0.9,1.6667309056249865e-08,1.8050974348166916e-08,24.103497061225827,21.011787721566943,0.3333333333333333,-0.035714285714285726,9
pochita,11,7,0.9,0.0007447769097594658,0.0007464416863952453,146.80861698348048,83.43064052046972,0.0,-0.23838721629371357,9
polydoge,11,7,0.9,1.1676271611125035e-09,1.1676271611125035e-09,11.676271611125037,11.032196969696972,0.0,0.0,9
popdog,11,7,0.9,0.0007372589503154032,0.000740514692985092,46.91273810558729,37.737248504318146,0.1111111111111111,-0.10886505939416365,9
project89,11,7,0.9,0.011222219514669316,0.011469475094227294,121.48507009298206,72.69960223465507,0.0,-0.2085173624525968,9
prophetofethereum,11,7,0.9,0.00011113868733809686,0.0001318691226878302,16.05330142602952,14.389743471603042,0.4444444444444444,0.0268014392145676,9
pundu,11,7,0.9,0.0003869071128111568,0.00045906158407635464,7.103426372807505,6.759491076735413,0.6666666666666666,0.027463542974969564,9
qstar,11,7,0.9,0.00015843054596186555,0.00020822625706980267,23.50144227157413,28.72161645771434,0.5555555555555556,-0.13080089059348968,9
rawr,11,7,0.9,0.0002819773266584209,0.00033098744054132963,44.79634527826232,34.591236416944085,0.4444444444444444,-0.010624344506702278,9
realsmurfcat,11,7,0.9,4.446507042645571e-06,5.268022710939316e-06,9.937641113459545,9.289288336507079,1.0,0.12261436640995632,9
ribbit2,11,7,0.9,1.421972123215715e-06,1.5089811861480228e-06,31.725987148073443,26.648503523789984,0.1111111111111111,-0.10095336213355827,9
riko,11,7,0.9,0.0024427530845634185,0.002466130913163214,56.23272639937833,43.67349173477691,0.1111111111111111,-0.09474496256757603,9
rockytherock,11,7,0.9,0.0006398196045640745,0.0006597616388313112,75.0905018123476,53.2522621421642,0.1111111111111111,-0.16816864203714785,9
ronnie,11,7,0.9,0.001106070460654561,0.0012243452927896516,70.41641090099012,48.260500096512196,0.4444444444444444,0.03681988352121527,9
rsnoofi,11,7,0.9,0.0005170944790013816,0.0005224579981933147,57.00420535965005,44.01864550077889,0.2222222222222222,-0.12022866555960733,9
ryujin,11,7,0.9,1.7543859649122633e-10,1.7543859649122633e-10,1.7543859649122633,1.7391304347825918,0.0,0.0,9
sadhamster,11,7,0.9,0.001551920936794079,0.001560577490024538,78.80764316804787,55.656982221012676,0.0,-0.15015656796903498,9
samoyedcoin,11,7,0.9,0.0005448763455656372,0.0006524121530030746,11.12288324148272,10.84284477622873,0.4444444444444444,0.03835691973158241,9
sharbi,11,7,0.9,1.894746846909893e-06,2.1030458182945883e-06,23.060683913069255,26.44008285035958,0.5555555555555556,0.08343086717174912,9
sharkcat,11,7,0.9,0.0022298315200549694,0.002286946832137782,58.36700922357796,44.68242921266503,0.1111111111111111,-0.13142389920301387,9
shinainu,11,7,0.9,2.841571309761087e-08,3.395482953743683e-08,6.97627006559837,7.291118855278117,0.6666666666666666,0.03714269503743189,9
shoggoth,11,7,0.9,0.019767144404635336,0.019809118056305683,190.79209450594297,95.8695115219333,0.1111111111111111,-0.22353259704685616,9
sillydragon,11,7,0.9,0.0012531376613841422,0.0015867059505833346,37.40257284223401,29.646337657950905,0.1111111111111111,-0.15700213989417225,9
sillynubcat,11,7,0.9,0.0038078999280351253,0.0039469007581583275,44.48131710142975,35.57381213603998,0.1111111111111111,-0.12152816079874129,9
slop,11,7,0.9,0.00018602791627375399,0.0001918602612276874,37.335519649256945,31.179612785269523,0.3333333333333333,-0.04892788588549381,9
slothana,11,7,0.9,0.0006345591261743439,0.0007078605781297034,19.827724665968685,17.689618891792993,0.4444444444444444,0.007206010666911477,9
snapkero,11,7,0.9,3.7299521905314654e-07,4.3684549324319434e-07,7.282044474721437,6.92912288567771,0.7777777777777778,0.04425209032247057,9
solchat,11,7,0.9,0.04435096778265107,0.05152913304956942,10.05054497681362,9.469741914003068,0.5555555555555556,0.02845004205592889,9
speedy2,11,7,0.9,0.0005930860671179603,0.0007016100449543054,23.545572220729444,19.878750343067665,0.4444444444444444,-0.07092599083871354,9
squidgrow2,11,7,0.9,0.006481403299736508,0.006555215883790216,42.255716828534894,34.71480529699838,0.0,-0.06703476253790841,9
strategicbitcoinreserve,11,7,0.9,0.4126127930168655,0.4480317675538073,105.63068655917853,65.21698070414368,0.2222222222222222,-0.16754266579400773,9
supercyclereal,11,7,0.9,0.0010083635175037785,0.0010407337212844149,97.60950498800742,59.94278747544958,0.0,-0.31796600972675976,9
