sheet_name,seed,comparison,delta_mae
dorklord2,17,V0_to_V1,0.011351368729721305
dorklord2,23,V0_to_V1,0.02781201239645193
ducky,11,V0_to_V1,0.025513022276015745
ducky,17,V0_to_V1,0.0316004097940152
ducky,23,V0_to_V1,0.01361652511735749
duko,11,V0_to_V1,0.019697748846136717
duko,17,V0_to_V1,0.015353571595688134
duko,23,V0_to_V1,0.015384512552495809
elgato,11,V0_to_V1,0.003134848904989572
elgato,17,V0_to_V1,0.03974896690828743
elgato,23,V0_to_V1,-0.04524052015559165
elon,11,V0_to_V1,0.030308522470180246
elon,17,V0_to_V1,0.008666771314464874
elon,23,V0_to_V1,0.026187898172144675
eyeearn,11,V0_to_V1,0.04159955860460241
eyeearn,17,V0_to_V1,0.04304820625609901
eyeearn,23,V0_to_V1,-0.04787905797775117
feces,11,V0_to_V1,0.01607970501838826
feces,17,V0_to_V1,0.026164880203863063
feces,23,V0_to_V1,-0.001885987506269858
fefeoneth,11,V0_to_V1,0.032432514249305024
fefeoneth,17,V0_to_V1,0.017672694065602363
fefeoneth,23,V0_to_V1,0.008985281069687774
feistydogenft,11,V0_to_V1,0.015011119281877382
feistydogenft,17,V0_to_V1,0.029298806387950495
feistydogenft,23,V0_to_V1,-0.0005899468536599076
fighttomaga,11,V0_to_V1,0.018466213129383822
fighttomaga,17,V0_to_V1,0.025137300705157305
fighttomaga,23,V0_to_V1,-0.0008582003139433816
firstreply,11,V0_to_V1,0.025505365739641996
firstreply,17,V0_to_V1,0.05491097123586678
firstreply,23,V0_to_V1,-0.0074665684382608025
fisttrumppump,11,V0_to_V1,-0.02800633651543305
fisttrumppump,17,V0_to_V1,-0.035151003503684275
fisttrumppump,23,V0_to_V1,-0.01954956297983612
floos,11,V0_to_V1,0.029122640570932216
floos,17,V0_to_V1,0.030458441867673866
floos,23,V0_to_V1,0.01859643724398871
fofar,11,V0_to_V1,0.019924579148972447
fofar,17,V0_to_V1,0.02128889925794243
fofar,23,V0_to_V1,0.003233693665249629
forest,11,V0_to_V1,0.004019376635118694
forest,17,V0_to_V1,-0.016790717846812814
forest,23,V0_to_V1,0.016749565132984853
gamestop,11,V0_to_V1,0.01461377135154883
gamestop,17,V0_to_V1,0.03413431586088117
gamestop,23,V0_to_V1,-0.02326159490077931
gameswift,11,V0_to_V1,0.020882280570304737
gameswift,17,V0_to_V1,-0.042510886700700024
gameswift,23,V0_to_V1,0.010375130492567164
gdog,11,V0_to_V1,0.005145846466902328
gdog,17,V0_to_V1,-0.002344425544730744
gdog,23,V0_to_V1,0.04200098682617654
gikocat,11,V0_to_V1,-0.07777890916891206
gikocat,17,V0_to_V1,-0.05308829566517681
gikocat,23,V0_to_V1,-0.1250281935249653
ginnanthecat,11,V0_to_V1,0.006530035157847606
ginnanthecat,17,V0_to_V1,0.019188652564179867
ginnanthecat,23,V0_to_V1,0.03830410174631776
gme,11,V0_to_V1,0.030945860233204194
gme,17,V0_to_V1,0.029676053734241
gme,23,V0_to_V1,-0.01635737241034977
groyper,11,V0_to_V1,-0.004929479689425962
groyper,17,V0_to_V1,-0.012760251702874911
groyper,23,V0_to_V1,0.015057081736125896
guacamole,11,V0_to_V1,0.07107172884737521
guacamole,17,V0_to_V1,0.02322268390258803
guacamole,23,V0_to_V1,0.014204575635628519
gummy,11,V0_to_V1,0.014163704561664379
gummy,17,V0_to_V1,0.0038191387320739463
gummy,23,V0_to_V1,0.01571687286130137
habibisol,11,V0_to_V1,0.07560276515752226
habibisol,17,V0_to_V1,0.006427587405139743
habibisol,23,V0_to_V1,0.013110704379145292
hami,11,V0_to_V1,0.0235581411277146
hami,17,V0_to_V1,0.013408370262398037
hami,23,V0_to_V1,0.018434294111818558
hana,11,V0_to_V1,0.04710224143931893
hana,17,V0_to_V1,0.03898777890974059
