seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
11,ilence,V1,2.9425454545454546e-05,3.0452749390729002e-05,100.0,200.0,0.8181818181818182,0.1631373564215911,11
11,ilence,V2,0.0003805530851655983,0.00038499839906888894,1388.0714857522628,172.74135545071522,0.18181818181818182,-0.1631373564215911,11
11,ilence,V3a,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
11,ilence,V3b,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
17,1guy,V0,0.024071908008454025,0.02407318902812058,321.59309546449725,123.25552994202422,0.0,-0.02252279839976992,13
17,1guy,V1,0.007496119999999999,0.007500096750382112,100.0,200.0,1.0,0.02252279839976992,13
17,1guy,V2,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
17,1guy,V3a,0.0003793000000000009,0.00045111495285825813,5.176287047733866,4.987843623690838,0.23076923076923078,-0.010571530718460988,13
17,1guy,V3b,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
17,1squirrel,V0,0.009202773636363638,0.009202899511455863,2144.475380873353,182.74075480553634,0.09090909090909091,-0.1316060214937965,11
17,1squirrel,V1,0.00043482636363636367,0.0004374823222922062,100.0,200.0,0.9090909090909091,0.1316060214937965,11
17,1squirrel,V2,0.0005250741909987217,0.0005266717325798082,123.32313673594473,75.6426618229515,0.09090909090909091,-0.1316060214937965,11
17,1squirrel,V3a,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
17,1squirrel,V3b,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
17,6,V0,0.04613022530733955,0.046458945458321084,172.826002738933,90.58683915985132,0.5,0.1962229593599163,8
17,6,V1,0.028326962499999997,0.028861940659868145,100.0,200.0,0.5,-0.1962229593599163,8
17,6,V2,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
17,6,V3a,0.014835037499999999,0.015832660919875407,58.160090718338274,42.9177641920763,0.5,0.1962229593599163,8
17,6,V3b,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
17,horny,V0,0.017523531250000002,0.017524003301983757,2558.394037335237,185.0488782225933,0.25,-0.20596498842665473,8
17,horny,V1,0.00070881875,0.0007203945297977353,100.0,200.0,0.75,0.20596498842665473,8
17,horny,V2,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
17,horny,V3a,0.0010312762500000001,0.0010392665500366114,153.71705635295828,85.00127812448372,0.25,-0.20596498842665473,8
17,horny,V3b,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
17,ilence,V0,0.010114874545454546,0.010114877586152713,36293.50854799199,198.84331722772538,0.18181818181818182,-0.1631373564215911,11
17,ilence,V1,2.9425454545454546e-05,3.0452749390729002e-05,100.0,200.0,0.8181818181818182,0.1631373564215911,11
17,ilence,V2,0.0003805530851655983,0.00038499839906888894,1388.0714857522628,172.74135545071522,0.18181818181818182,-0.1631373564215911,11
17,ilence,V3a,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
17,ilence,V3b,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
23,1guy,V0,0.007496119999999999,0.007500096750382112,100.0,200.0,1.0,0.02252279839976992,13
23,1guy,V1,0.007496119999999999,0.007500096750382112,100.0,200.0,1.0,0.02252279839976992,13
23,1guy,V2,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
23,1guy,V3a,0.0003793000000000009,0.00045111495285825813,5.176287047733866,4.987843623690838,0.23076923076923078,-0.010571530718460988,13
23,1guy,V3b,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
23,1squirrel,V0,0.00043482636363636367,0.0004374823222922062,100.0,200.0,0.9090909090909091,0.1316060214937965,11
23,1squirrel,V1,0.00911052115029947,0.009115266575009056,2123.0098327745645,182.56674041792436,0.09090909090909091,-0.1316060214937965,11
23,1squirrel,V2,0.0005250741909987217,0.0005266717325798082,123.32313673594473,75.6426618229515,0.09090909090909091,-0.1316060214937965,11
23,1squirrel,V3a,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
23,1squirrel,V3b,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
23,6,V0,0.028326962499999997,0.028861940659868145,100.0,200.0,0.5,-0.1962229593599163,8
23,6,V1,0.004596427194871579,0.005757952192820169,15.955533070055882,16.28340479558871,0.875,0.3617363822843481,8
23,6,V2,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
23,6,V3a,0.014835037499999999,0.015832660919875407,58.160090718338274,42.9177641920763,0.5,0.1962229593599163,8
23,6,V3b,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
23,horny,V0,0.00070881875,0.0007203945297977353,100.0,200.0,0.75,0.20596498842665473,8
23,horny,V1,0.002766417623324531,0.006183127710136203,344.8285944733526,180.33389938426322,0.5,0.02703072840805286,8
23,horny,V2,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
23,horny,V3a,0.0010312762500000001,0.0010392665500366114,153.71705635295828,85.00127812448372,0.25,-0.20596498842665473,8
23,horny,V3b,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
23,ilence,V0,2.9425454545454546e-05,3.0452749390729002e-05,100.0,200.0,0.8181818181818182,0.1631373564215911,11
23,ilence,V1,0.008278956363636363,0.009148040433395361,28434.367866423374,199.01051351967638,0.36363636363636365,-0.10777486576757377,11
23,ilence,V2,0.0003805530851655983,0.00038499839906888894,1388.0714857522628,172.74135545071522,0.18181818181818182,-0.1631373564215911,11
23,ilence,V3a,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
23,ilence,V3b,0.0001954145454545455,0.000195571872071253,706.6319471950276,154.03190300354416,0.18181818181818182,-0.1631373564215911,11
