seed,sheet_name,variant,mae,rmse,mape,directional_accuracy,roi_proxy
17,neiro2,V0,0.025218556374558863,0.025235666821759584,1209.1296015024554,0.058823529411764705,-0.15961738346104448
17,neiro2,V1,0.046723068580697504,0.05023882409221937,2180.3893802118237,0.7647058823529411,0.11583565555653043
17,neiro2,V2,0.001413792286322658,0.0017111770872117232,68.55331575172985,0.35294117647058826,0.0001608463904718579
17,neiro2,V3,8934.996687320288,19554.4115926191,347406966.0869061,0.058823529411764705,-0.15961738346104448
17,newbornhaggispygmyhippo,V0,0.024708320333587386,0.024708352256508512,9921.319646606877,0.35294117647058826,0.03278139895530705
17,newbornhaggispygmyhippo,V1,0.05171064699133568,0.05171066204697221,20756.470027327425,0.6470588235294118,-0.03278139895530705
17,newbornhaggispygmyhippo,V2,0.0003123969266621351,0.0003222923050044012,127.62135558998875,0.35294117647058826,0.03278139895530705
17,newbornhaggispygmyhippo,V3,166.87037033535572,224.38098415054768,66923968.392161734,0.35294117647058826,0.03278139895530705
17,nomnom,V0,0.03847914116109223,0.03849689959927785,1229.9051428555308,0.11764705882352941,-0.1657852656171634
17,nomnom,V1,0.061872031547202215,0.06405752008669217,2021.3158998601261,0.8823529411764706,0.13625439756214686
17,nomnom,V2,0.007557712838281113,0.007755015995174316,255.69850586456218,0.11764705882352941,-0.1657852656171634
17,nomnom,V3,6104.34413289339,6443.958972053561,205270435.58519584,0.11764705882352941,-0.1657852656171634
17,npconsolana,V0,0.03490826186198202,0.03497855473055099,317.29077876326386,0.35294117647058826,0.08456909885838647
17,npconsolana,V1,0.04265171559333125,0.04509407977452206,389.9992743309927,0.7058823529411765,-0.026842510055397024
17,npconsolana,V2,0.00436820533429884,0.004975458564316585,42.374035313426326,0.35294117647058826,0.08456909885838647
17,npconsolana,V3,5017.963982158636,5814.779229189676,43509825.21755811,0.35294117647058826,0.08456909885838647
17,numogram,V0,0.04481709248346936,0.04505371232930057,416.14388220791216,0.23529411764705882,-0.19118355162281325
17,numogram,V1,0.03991756855585501,0.04016038051189019,347.93549856600885,0.7647058823529411,0.19118355162281325
17,numogram,V2,0.012335761228131747,0.012704644847768757,118.66287712531064,0.35294117647058826,-0.07300557273219754
17,numogram,V3,27465.93207231785,29527.449270951296,218619799.17346966,0.23529411764705882,-0.19118355162281325
17,nya,V0,0.022772087261545046,0.02277208726155801,13104625.83612933,0.058823529411764705,-0.08713257558322209
17,nya,V1,0.05550203325001509,0.058764162160800805,31415538.676129684,0.5882352941176471,0.049575664273806684
17,nya,V2,1.2125044834004105e-07,1.2521533002456105e-07,71.27547428540002,0.058823529411764705,-0.08713257558322209
17,nya,V3,786.7982481453197,1172.4300611622518,446577396775.67194,0.058823529411764705,-0.08713257558322209
17,ogroaringkitty,V0,0.030972085922866377,0.030979688078662942,870.8142647946131,0.29411764705882354,-0.08712493249911012
17,ogroaringkitty,V1,0.05088723844173571,0.05089001897118265,1422.297940171963,0.7058823529411765,0.08712493249911012
17,ogroaringkitty,V2,0.0032536471835806604,0.0033184497763359085,94.44379280288778,0.29411764705882354,-0.08712493249911012
17,ogroaringkitty,V3,631.8628781417405,640.2931440646092,17420088.634730376,0.29411764705882354,-0.08712493249911012
17,omega2,V0,0.04212175459077169,0.04212212094926867,9254.098937311293,0.29411764705882354,-0.140216156490381
17,omega2,V1,0.04568615791617367,0.048101337391590705,9886.03043335059,0.6470588235294118,0.1553550016231707
17,omega2,V2,0.008289175744740208,0.008491024034165294,1824.4760151875666,0.29411764705882354,-0.140216156490381
17,omega2,V3,220.0201321972335,327.61218307969557,41084544.57392217,0.29411764705882354,-0.140216156490381
17,optimusai,V0,0.07819200041330086,0.0785329644696787,187.09384312152488,0.058823529411764705,-0.10466479242023556
17,optimusai,V1,0.012220623801340712,0.015884115198198823,26.453510316657507,0.9411764705882353,0.10466479242023556
17,optimusai,V2,0.030134610468907336,0.0309595971401032,73.07096530671609,0.058823529411764705,-0.10466479242023556
17,optimusai,V3,507.93235707952056,558.0855420733576,1170450.9245082298,0.058823529411764705,-0.10466479242023556
