sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
supertrump,11,7,0.8,0.0011968496271315798,0.0012646376115385282,121.6049425294988,0.47058823529411764,0.03713544026527649
suwi,11,7,0.8,0.004919682426399844,0.004937560775028944,616.9628093456233,0.17647058823529413,-0.21274119158037721
taoinu,11,7,0.8,0.0017738033206762278,0.001782113681694622,66.51252203916194,0.29411764705882354,-0.03177001731196166
tateterminal,11,7,0.8,0.0006952500990846153,0.0007085612808506214,83.73983647708977,0.11764705882352941,-0.10784953052443577
tehepikduck,11,7,0.8,0.0031610096268907305,0.0032947233191648276,42.26801721240589,0.47058823529411764,-0.010999664145761024
terminus2,11,7,0.8,0.07515046751433861,0.0773285028430884,99.30698624937597,0.17647058823529413,-0.11625883770119473
terminus3,11,7,0.8,1.0960933769207063e-06,1.0989258219777544e-06,246.89612540346033,0.29411764705882354,-0.07521302324108159
thebalkandwarf,11,7,0.8,0.00025321249054291716,0.0002545788114131333,133.70667100106814,0.17647058823529413,-0.07376588338811756
thelastplay,11,7,0.8,0.0009324938649039723,0.0011049154244918927,34.20317504677823,0.7058823529411765,0.5361746947549213
thereallandwolf,11,7,0.8,0.00040270916013133474,0.000409009342367149,137.1814884049809,0.23529411764705882,-0.11116319816638903
thesoldog,11,7,0.8,1.5866132649500008e-06,2.0381310849284655e-06,11.653447316616695,0.6470588235294118,0.04579814987930349
tobi,11,7,0.8,0.0007789628502958524,0.0008295595706522551,80.55666330350988,0.4117647058823529,-0.01764007635124344
toga,11,7,0.8,0.0001707807862098125,0.00017219662291560945,132.58765715372857,0.17647058823529413,-0.05959858863402134
torsy,11,7,0.8,0.001218108637940402,0.001241405704812361,50.35848898207196,0.4117647058823529,-0.0467638343211187
troll,11,7,0.8,4.827586143474721e-09,4.827586143474721e-09,48.275861434747206,0.0,0.0
uranus3,11,7,0.8,0.0008430451017504793,0.000855714702114097,138.6389363094665,0.29411764705882354,-0.11540875545016531
valhallaindex,11,7,0.8,0.0023848616445961627,0.0026504067936500312,25.690523230879442,0.0,-0.06547222696172793
vitainu,11,7,0.8,2.0101420100102252e-08,2.0527253309454528e-08,107.43745892587944,0.0,-0.0980392156862745
voltinu2,11,7,0.8,8.282961427989671e-08,8.41311240814779e-08,27.985850858148858,0.17647058823529413,-0.03275617479329504
waffles,11,7,0.8,0.001489704322290492,0.0019059922733634476,21.197127219059535,0.8235294117647058,0.21958415149543678
wassie,11,7,0.8,1.8434075721266873e-06,1.8768425439446088e-06,66.65916426204333,0.23529411764705882,-0.07033130326092744
why,11,7,0.8,7.915821947150772e-08,8.034271007378777e-08,113.70931035854619,0.11764705882352941,-0.08926873779814956
wicked,11,7,0.8,0.0013476271980995573,0.0013528719550449722,365.2425328616473,0.17647058823529413,-0.1360866717983242
winniethepoodle,11,7,0.8,0.0007615135558684977,0.0008777701495054508,9.16431374743738,0.5882352941176471,0.012135694164968628
wrappeddog,11,7,0.8,0.001043229138133847,0.0011163579851053392,71.30553889130651,0.4117647058823529,-0.08961326535832345
zackmorris,11,7,0.8,0.0004481599082339614,0.0005044554886519037,34.43071382651776,0.7058823529411765,0.1418581958664058
zerotech,11,7,0.8,0.002172550793750214,0.0025299498256930956,14.844589189182441,0.7058823529411765,0.08431851273759795
zoomer,11,7,0.8,1.1071686627742413e-05,1.113903020787199e-05,56.398875185164975,0.4117647058823529,-0.012385677524190904
zyncoin2,11,7,0.8,0.007165719743223612,0.008574877537265277,22.29692285804528,0.4117647058823529,-0.007342499041530868
abi,17,7,0.8,0.003958816392810917,0.0044258775979310995,32.77929491554264,0.29411764705882354,-0.04825502065331623
ai16z,17,7,0.8,0.26015456570673157,0.3126979662856475,38.04230654456237,0.35294117647058826,-0.06044208033587735
aicrystalnode,17,7,0.8,0.0008944712756916303,0.0008945196443218099,1574.496818997992,0.29411764705882354,-0.06735709260621926
aiinu,17,7,0.8,0.007649918157890297,0.007709213097317335,87.7156241808429,0.058823529411764705,-0.055078683179285014
aiwithdaddyissues,17,7,0.8,0.005547666256679636,0.005581922755008575,476.91685116383445,0.11764705882352941,-0.19456867790225776
akiprotocol,17,7,0.8,0.0032526974233606522,0.0033015454901087443,28.364791076088096,0.5882352941176471,-0.03817381072917447
amaterasuomikami,17,7,0.8,0.004202506502978511,0.00498503502147916,12.904340753970969,0.7058823529411765,0.07063333802480992
americancoin,17,7,0.8,2.0167446101557066e-06,2.939266892057314e-06,38.87322541342418,0.7058823529411765,-0.026678470622666185
analos,17,7,0.8,1.1852468001468187e-05,1.2307952454292277e-05,62.480421177748546,0.23529411764705882,-0.013330230805557244
anyinu,17,7,0.8,4.637494555097356e-06,4.720784024821628e-06,97.58241826563183,0.17647058823529413,-0.10019510008233834
astropepex,17,7,0.8,5.026942801706072e-05,5.082888149469768e-05,43.69460010004217,0.4117647058823529,-0.026507477473135043
autism2,17,7,0.8,0.0004387443022870096,0.0005215271228161897,32.97665536546855,0.29411764705882354,-0.019220906392593922
autonomousvirtualbeings,17,7,0.8,0.008617870673562171,0.009990963984129169,72.17802604831351,0.4117647058823529,0.022847054161776032
avaxhasnochill,17,7,0.8,0.0011799514678161437,0.0012271277471553156,71.074184503075,0.4117647058823529,0.034992225939941016
babybnb,17,7,0.8,0.005461699337142171,0.005491405032573909,372.23384564846106,0.23529411764705882,-0.005005432010489997
babywen,17,7,0.8,0.050628378600065554,0.053007373681410355,101.87584937921106,0.11764705882352941,-0.11251469067393544
badideaai,17,7,0.8,9.82758619029293e-09,9.827586190292932e-09,98.27586190292931,0.17647058823529413,0.08823529411764706
bananatapewall,17,7,0.8,0.0005303436479939212,0.0005318270812311403,177.0855700234147,0.29411764705882354,-0.05302442997313797
beercoin2,17,7,0.8,3.826870559002625e-06,4.013036557210573e-06,53.48919983728152,0.29411764705882354,-0.03971867354188684
benthedog,17,7,0.8,0.005422693343615232,0.005763738703189206,122.22784483247035,0.29411764705882354,-0.11054865147571685
billy,17,7,0.8,0.019529081831285988,0.01960913577229397,294.92369437202683,0.11764705882352941,-0.1604410052620681
bingusthecat,17,7,0.8,0.0011415461941832695,0.0011593246486952557,89.32072303670122,0.35294117647058826,-0.029688048194933616
bitcat2,17,7,0.8,0.0008427973270594889,0.0008430027931266943,709.0006373202275,0.17647058823529413,-0.10738913610506955
